sample	sex	biosample	population	population_name	superpopulation	superpopulation_name
HG00271	male	SAME123417	FIN	Finnish	EUR	European Ancestry
HG00276	female	SAME123424	FIN	Finnish	EUR	European Ancestry
HG00288	female	SAME1839246	FIN	Finnish	EUR	European Ancestry
HG00290	male	SAME1839057	FIN	Finnish	EUR	European Ancestry
HG00303	male	SAME1840115	FIN	Finnish	EUR	European Ancestry
HG00308	male	SAME124161	FIN	Finnish	EUR	European Ancestry
HG00310	male	SAME124338	FIN	Finnish	EUR	European Ancestry
HG00315	female	SAME124335	FIN	Finnish	EUR	European Ancestry
HG00327	female	SAME123791	FIN	Finnish	EUR	European Ancestry
HG00334	female	SAME123981	FIN	Finnish	EUR	European Ancestry
HG00339	female	SAME123991	FIN	Finnish	EUR	European Ancestry
HG00341	male	SAME124922	FIN	Finnish	EUR	European Ancestry
HG00346	female	SAME125264	FIN	Finnish	EUR	European Ancestry
HG00353	female	SAME125120	FIN	Finnish	EUR	European Ancestry
HG00358	male	SAME125126	FIN	Finnish	EUR	European Ancestry
HG00360	male	SAME124539	FIN	Finnish	EUR	European Ancestry
HG00365	female	SAME124542	FIN	Finnish	EUR	European Ancestry
HG00372	male	SAME124748	FIN	Finnish	EUR	European Ancestry
HG00132	female	SAME123061	GBR	British	EUR	European Ancestry
HG00137	female	SAME123066	GBR	British	EUR	European Ancestry
HG00144	female	SAME124392	GBR	British	EUR	European Ancestry
HG00149	male	SAME124387	GBR	British	EUR	European Ancestry
HG00151	male	SAME124592	GBR	British	EUR	European Ancestry
HG00156	male	SAME123276	GBR	British	EUR	European Ancestry
HG00182	male	SAME123643	FIN	Finnish	EUR	European Ancestry
HG00187	male	SAME123646	FIN	Finnish	EUR	European Ancestry
HG00136	male	SAME123065	GBR	British	EUR	European Ancestry
HG00233	female	SAME124127	GBR	British	EUR	European Ancestry
HG00143	male	SAME124393	GBR	British	EUR	European Ancestry
HG00238	female	SAME124131	GBR	British	EUR	European Ancestry
HG00148	male	SAME124388	GBR	British	EUR	European Ancestry
HG00240	female	SAME123221	GBR	British	EUR	European Ancestry
HG00150	female	SAME124591	GBR	British	EUR	European Ancestry
HG00245	female	SAME123218	GBR	British	EUR	European Ancestry
HG00155	male	SAME124588	GBR	British	EUR	European Ancestry
HG00252	male	SAME123052	GBR	British	EUR	European Ancestry
HG00174	female	SAME124958	FIN	Finnish	EUR	European Ancestry
HG00257	female	SAME123047	GBR	British	EUR	European Ancestry
HG00179	female	SAME124965	FIN	Finnish	EUR	European Ancestry
HG00264	male	SAME123578	GBR	British	EUR	European Ancestry
HG00181	male	SAME123644	FIN	Finnish	EUR	European Ancestry
HG00269	female	SAME123575	FIN	Finnish	EUR	European Ancestry
HG00186	male	SAME123647	FIN	Finnish	EUR	European Ancestry
HG00377	female	SAME124752	FIN	Finnish	EUR	European Ancestry
HG00232	female	SAME124128	GBR	British	EUR	European Ancestry
HG00384	female	SAME123034	FIN	Finnish	EUR	European Ancestry
HG00237	female	SAME124124	GBR	British	EUR	European Ancestry
HG00404	female	SAME123158	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00244	male	SAME123217	GBR	British	EUR	European Ancestry
HG00409	male	SAME1840026	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00249	female	SAME123227	GBR	British	EUR	European Ancestry
HG00411	male	SAME1839726	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00251	male	SAME123053	GBR	British	EUR	European Ancestry
HG00423	female	SAME122810	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00256	male	SAME123048	GBR	British	EUR	European Ancestry
HG00428	female	SAME122811	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00263	female	SAME123581	GBR	British	EUR	European Ancestry
HG00442	male	SAME124912	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00268	female	SAME123574	FIN	Finnish	EUR	European Ancestry
HG00447	female	SAME124953	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00383	female	SAME123032	FIN	Finnish	EUR	European Ancestry
HG00459	male	SAME125269	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00403	male	SAME123160	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00473	female	SAME123338	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00408	female	SAME123155	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00098	male	SAME123272	GBR	British	EUR	European Ancestry
HG00410	female	SAME1839734	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00101	male	SAME125153	GBR	British	EUR	European Ancestry
HG00422	female	SAME122809	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00106	female	SAME123948	GBR	British	EUR	European Ancestry
HG00427	male	SAME122806	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00113	male	SAME125342	GBR	British	EUR	European Ancestry
HG00446	female	SAME123880	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00118	female	SAME125347	GBR	British	EUR	European Ancestry
HG00453	female	SAME123113	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00120	female	SAME122874	GBR	British	EUR	European Ancestry
HG00458	female	SAME125278	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00125	female	SAME122869	GBR	British	EUR	European Ancestry
HG00465	male	SAME123498	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00472	male	SAME123339	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00270	female	SAME123418	FIN	Finnish	EUR	European Ancestry
HG00275	female	SAME123421	FIN	Finnish	EUR	European Ancestry
HG00282	female	SAME122833	FIN	Finnish	EUR	European Ancestry
HG00302	female	SAME1840121	FIN	Finnish	EUR	European Ancestry
HG00319	female	SAME124334	FIN	Finnish	EUR	European Ancestry
HG00478	male	SAME123335	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00321	male	SAME123796	FIN	Finnish	EUR	European Ancestry
HG00480	male	SAME124617	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00326	female	SAME123792	FIN	Finnish	EUR	European Ancestry
HG00500	male	SAME123363	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00338	male	SAME123990	FIN	Finnish	EUR	European Ancestry
HG00512	male	SAME123525	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00345	male	SAME124919	FIN	Finnish	EUR	European Ancestry
HG00524	male	SAME123724	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00357	female	SAME125124	FIN	Finnish	EUR	European Ancestry
HG00531	female	SAME125381	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00364	female	SAME124543	FIN	Finnish	EUR	European Ancestry
HG00536	male	SAME124344	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00369	male	SAME124534	FIN	Finnish	EUR	European Ancestry
HG00543	female	SAME122857	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00371	male	SAME124747	FIN	Finnish	EUR	European Ancestry
HG00555	female	SAME122856	PUR	Puerto Rican	AMR	American Ancestry
HG00376	female	SAME124751	FIN	Finnish	EUR	European Ancestry
HG00567	male	SAME124453	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00097	female	SAME123267	GBR	British	EUR	European Ancestry
HG00579	female	SAME123530	CHS	Southern Han Chinese	EAS	East Asian Ancestry
